name,R1
wt-DNA-rep1,wt-DNA-rep1_R1.fastq.gz
wt-DNA-rep2,wt-DNA-rep2_R1.fastq.gz
wt-DNA-rep3,wt-DNA-rep3_R1.fastq.gz
mut-DNA-rep1,mut-DNA-rep1_R1.fastq.gz
mut-DNA-rep2,mut-DNA-rep2_R1.fastq.gz
mut-DNA-rep3,mut-DNA-rep3_R1.fastq.gz
mut-virus-rep2e,mut-virus-rep2e_R1.fastq.gz
mut-virus-rep2e-2124-Wk0-d10,mut-virus-rep2e-2124-Wk0-d10_R1.fastq.gz
mut-virus-rep2e-2124-Wk0-d30,mut-virus-rep2e-2124-Wk0-d30_R1.fastq.gz
mut-virus-rep2e-2124-Wk22-d10,mut-virus-rep2e-2124-Wk22-d10_R1.fastq.gz
mut-virus-rep2e-2124-Wk22-d30,mut-virus-rep2e-2124-Wk22-d30_R1.fastq.gz
mut-virus-rep2e-2214-Wk0-d10,mut-virus-rep2e-2214-Wk0-d10_R1.fastq.gz
mut-virus-rep2e-2214-Wk43-d10,mut-virus-rep2e-2214-Wk43-d10_R1.fastq.gz
mut-virus-rep2e-2423-Wk0-d10,mut-virus-rep2e-2423-Wk0-d10_R1.fastq.gz
mut-virus-rep2e-2423-Wk18-d10,mut-virus-rep2e-2423-Wk18-d10_R1.fastq.gz
mut-virus-rep2e-2423-Wk18-d30,mut-virus-rep2e-2423-Wk18-d30_R1.fastq.gz
mut-virus-rep2e-2425-Wk0-d30,mut-virus-rep2e-2425-Wk0-d30_R1.fastq.gz
mut-virus-rep2e-2425-Wk18-d30,mut-virus-rep2e-2425-Wk18-d30_R1.fastq.gz
mut-virus-rep2e-5724-Wk0-d30,mut-virus-rep2e-5724-Wk0-d30_R1.fastq.gz
mut-virus-rep2e-5724-Wk26-d10,mut-virus-rep2e-5724-Wk26-d10_R1.fastq.gz
mut-virus-rep2e-5724-Wk26-d30,mut-virus-rep2e-5724-Wk26-d30_R1.fastq.gz
mut-virus-rep2e-5724-Wk26-d77,mut-virus-rep2e-5724-Wk26-d77_R1.fastq.gz
mut-virus-rep2e-5727-Wk0-d10,mut-virus-rep2e-5727-Wk0-d10_R1.fastq.gz
mut-virus-rep2e-5727-Wk26-d10,mut-virus-rep2e-5727-Wk26-d10_R1.fastq.gz
mut-virus-rep3e-2124-Wk22-d3-75,mut-virus-rep3e-2124-Wk22-d3-75_R1.fastq.gz
mut-virus-rep3e-2214-Wk43-d3-75,mut-virus-rep3e-2214-Wk43-d3-75_R1.fastq.gz
mut-virus-rep3e-2214-Wk43-d5,mut-virus-rep3e-2214-Wk43-d5_R1.fastq.gz
mut-virus-rep3e-2423-Wk18-d5,mut-virus-rep3e-2423-Wk18-d5_R1.fastq.gz
mut-virus-rep3e-2425-Wk18-d20,mut-virus-rep3e-2425-Wk18-d20_R1.fastq.gz
mut-virus-rep3e-5724-Wk26-d30,mut-virus-rep3e-5724-Wk26-d30_R1.fastq.gz
mut-virus-rep3e-5727-Wk26-d3-75,mut-virus-rep3e-5727-Wk26-d3-75_R1.fastq.gz
mut-virus-rep3e,mut-virus-rep3e_R1.fastq.gz
mut-virus-rep1v2a-5724-Wk26-d20,mut-virus-rep1v2a-5724-Wk26-d20_R1.fastq.gz
mut-virus-rep1v2a-5727-Wk26-d4,mut-virus-rep1v2a-5727-Wk26-d4_R1.fastq.gz
mut-virus-rep1v2a-2124-Wk22-d5,mut-virus-rep1v2a-2124-Wk22-d5_R1.fastq.gz
mut-virus-rep1v2a-2124-Wk22-d7-5,mut-virus-rep1v2a-2124-Wk22-d7-5_R1.fastq.gz
mut-virus-rep1v2a-2214-Wk43-d2-5,mut-virus-rep1v2a-2214-Wk43-d2-5_R1.fastq.gz
mut-virus-rep1v2a-2214-Wk43-d4,mut-virus-rep1v2a-2214-Wk43-d4_R1.fastq.gz
mut-virus-rep1v2a-2214-Wk43-d6,mut-virus-rep1v2a-2214-Wk43-d6_R1.fastq.gz
mut-virus-rep1v2a-2423-Wk18-d2-5,mut-virus-rep1v2a-2423-Wk18-d2-5_R1.fastq.gz
mut-virus-rep1v2a-2423-Wk18-d3-75,mut-virus-rep1v2a-2423-Wk18-d3-75_R1.fastq.gz
mut-virus-rep1v2a-2425-Wk18-d30,mut-virus-rep1v2a-2425-Wk18-d30_R1.fastq.gz
mut-virus-rep1v2a,mut-virus-rep1v2a_R1.fastq.gz
